,Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
6,20,10,0.000416575,0.000416575,8.54705E-06,0.0865,0.086163701,0.085738579,0.000336299,0.001489315,0.001489315,3.07162E-05,0.0865,0.08294921,0.081429178,0.00355079,0.001511871,0.001511871,3.08597E-05,0.0865,0.081319802,0.079777072,0.005180198,Natural3
7,20,10,0.000517855,0.000517855,1.06103E-05,0.228832532,0.228768478,0.228240013,6.40535E-05,0.001878071,0.001878071,3.8738E-05,0.225618041,0.224983312,0.223066503,0.000634729,0.001970205,0.001970205,4.03289E-05,0.223988633,0.223145707,0.221135173,0.000842926,Natural4
8,40,10,0.00030673,0.00030673,6.2568E-06,0.0865,0.086296849,0.085983862,0.000203151,0.001050389,0.001050389,2.16927E-05,0.0865,0.084547544,0.083475462,0.001952456,0.001943926,0.001943926,4.04056E-05,0.0865,0.083400104,0.081415772,0.003099896,Natural1
9,40,10,8.45555E-05,0.000391286,7.97898E-06,0.241271453,0.241228921,0.240829656,4.25324E-05,0.000350669,0.001401059,2.89552E-05,0.239522148,0.23911288,0.237682866,0.000409268,0.000409804,0.00235373,4.88656E-05,0.238374708,0.237718051,0.235315455,0.000656657,Natural2
10,40,10,0.000288041,0.000288041,5.86225E-06,0.0865,0.086296849,0.086002946,0.000203151,0.001223123,0.001223123,2.53393E-05,0.0865,0.084547544,0.083299082,0.001952456,0.001483074,0.001483074,3.06765E-05,0.0865,0.083400104,0.081886354,0.003099896,Natural3
11,40,10,0.000362945,0.000362945,7.38427E-06,0.22896568,0.228928385,0.228558055,3.72956E-05,0.001511984,0.001511984,3.12893E-05,0.227216375,0.22684372,0.225300447,0.000372655,0.001871024,0.001871024,3.87045E-05,0.226068935,0.225513699,0.223603971,0.000555236,Natural4
0,10,20,9.48164E-05,0.000444692,7.35251E-06,0.021134802,0.020905341,0.020453297,0.000229461,0.000215964,0.004821751,4.11536E-05,0.016707184,0.014886925,0.010024021,0.001820259,0.000153347,0.006222708,4.76147E-05,0.014555804,0.012179167,0.005908845,0.002376637,Last
1,10,50,6.36692E-05,0.000306932,5.01209E-06,0.013956982,0.013009913,0.012697969,0.000947068,3.92818E-05,0.001963759,1.51433E-05,0.004094759,0.001306467,0,0.002788293,-3.05637E-05,0.002798381,1.80448E-05,0.001194423,0,0,0.001194423,Last
2,10,80,5.53704E-05,0.000280096,4.50199E-06,0.011944338,0.009869463,0.009584865,0.002074875,-0.000128641,0.001818579,8.36389E-06,-0.004978964,0.003700421,0.001873478,-0.008679385,-0.000287474,0.00257472,7.75557E-06,-0.012403663,0.020000182,0.017417707,-0.032403846,Last
3,10,100,2.86623E-05,0.000155285,2.4139E-06,0.006123357,0.004461325,0.004303626,0.001662032,-0.000172576,0.001008553,1.1328E-06,-0.008012613,0.01381188,0.012802194,-0.021824494,-0.000318085,0.001414749,-1.22411E-06,-0.014973128,0.046146281,0.044732757,-0.061119409,Last
4,10,10,0.002094381,0.0089099,0.000178737,0.469208358,0.46793481,0.458846173,0.001273549,0.006014194,0.10890214,0.001488685,0.452859639,0.440524797,0.330133971,0.012334842,0.005071656,0.150843232,0.00193618,0.44407962,0.425952556,0.273173145,0.018127063,Last
