Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
20,10,4.85E-05,4.85E-05,9.57E-07,0.0865,0.086490088,0.086440644,9.91E-06,0.000195388,0.000195388,3.97E-06,0.0865,0.086401368,0.086202012,9.86E-05,7.86E-05,7.86E-05,1.57E-06,0.0865,0.086477207,0.086397083,2.28E-05,Natural3
20,10,6.47E-05,6.47E-05,1.27E-06,0.306200088,0.306197621,0.306131616,2.47E-06,0.000260466,0.000260466,5.28E-06,0.306111368,0.306086565,0.305820819,2.48E-05,0.000105148,0.000105148,2.09E-06,0.306187207,0.306181544,0.306074304,5.66E-06,Natural4
40,10,3.35E-05,3.35E-05,6.54E-07,0.0865,0.086494199,0.086460004,5.80E-06,0.000140316,0.000140316,2.83E-06,0.0865,0.086442084,0.086298933,5.79E-05,0.000173817,0.000173817,3.52E-06,0.0865,0.086410877,0.086233542,8.91E-05,Natural1
40,10,1.14E-05,4.49E-05,8.74E-07,0.282382099,0.282380647,0.282334838,1.45E-06,4.63E-05,0.000186663,3.77E-06,0.282329984,0.282315387,0.282124958,1.46E-05,5.99E-05,0.000233754,4.73E-06,0.282298777,0.28227638,0.282037899,2.24E-05,Natural2
40,10,3.51E-05,3.51E-05,6.87E-07,0.0865,0.086494199,0.086458383,5.80E-06,0.000142001,0.000142001,2.87E-06,0.0865,0.086442084,0.086297213,5.79E-05,0.000182617,0.000182617,3.70E-06,0.0865,0.086410877,0.086224557,8.91E-05,Natural3
40,10,4.68E-05,4.68E-05,9.12E-07,0.306204199,0.306202754,0.306155075,1.45E-06,0.000189891,0.000189891,3.83E-06,0.306152084,0.306137632,0.305943909,1.45E-05,0.000244182,0.000244182,4.94E-06,0.306120877,0.306098623,0.305849496,2.23E-05,Natural4
10,20,1.02E-05,2.11E-05,5.93E-07,0.021437398,0.02143182,0.021410149,5.58E-06,1.27E-05,2.95E-05,7.80E-07,0.021432046,0.021423866,0.021393615,8.18E-06,1.40E-05,3.59E-05,9.01E-07,0.02142701,0.021417169,0.021380392,9.84E-06,Last
10,50,7.41E-06,1.55E-05,4.30E-07,0.015284708,0.015259851,0.015243924,2.49E-05,9.17E-06,2.16E-05,5.65E-07,0.015260832,0.015224427,0.015202223,3.64E-05,1.01E-05,2.63E-05,6.53E-07,0.015238374,0.015194635,0.015167672,4.37E-05,Last
10,80,7.52E-06,1.57E-05,4.37E-07,0.015233262,0.015169844,0.015153699,6.34E-05,9.28E-06,2.19E-05,5.73E-07,0.01517222,0.015079566,0.015057097,9.27E-05,1.02E-05,2.66E-05,6.60E-07,0.015114848,0.015003785,0.014976546,0.000111063,Last
10,100,4.55E-06,9.81E-06,2.64E-07,0.009111487,0.009052217,0.009042146,5.93E-05,5.60E-06,1.36E-05,3.46E-07,0.00905433,0.008967934,0.008953944,8.64E-05,6.16E-06,1.65E-05,3.98E-07,0.009000648,0.00889731,0.008880379,0.000103338,Last
10,10,0.000279042,0.000526722,1.53E-05,0.588554593,0.588516308,0.587974312,3.83E-05,0.000345705,0.000725928,2.00E-05,0.588524516,0.58846836,0.587722385,5.62E-05,0.000382413,0.00087277,2.32E-05,0.588497887,0.58843032,0.587534373,6.76E-05,Last
20,20,7.73E-06,1.48E-05,4.31E-07,0.021440538,0.021436922,0.021421724,3.62E-06,1.73E-05,6.87E-05,1.39E-06,0.02139733,0.02138332,0.021313224,1.40E-05,1.15E-05,2.50E-05,6.86E-07,0.021434885,0.021427934,0.021402205,6.95E-06,Last
20,50,5.61E-06,1.09E-05,3.13E-07,0.015298723,0.015282593,0.015271412,1.61E-05,1.25E-05,5.01E-05,1.00E-06,0.015106241,0.015044421,0.014993366,6.18E-05,8.35E-06,1.84E-05,4.98E-07,0.015273497,0.015242542,0.015223645,3.10E-05,Last
20,80,5.69E-06,1.10E-05,3.18E-07,0.015269116,0.015227904,0.015216558,4.12E-05,1.24E-05,5.01E-05,1.00E-06,0.014778319,0.014623497,0.014572398,0.000154822,8.46E-06,1.86E-05,5.04E-07,0.015204593,0.015125705,0.015106565,7.89E-05,Last
20,100,3.45E-06,6.90E-06,1.93E-07,0.009145079,0.009106511,0.009099422,3.86E-05,7.37E-06,3.08E-05,5.97E-07,0.008686651,0.008544457,0.008513027,0.000142194,5.11E-06,1.16E-05,3.05E-07,0.009084636,0.009010987,0.008999061,7.36E-05,Last
20,10,0.000210879,0.0003705,1.10E-05,0.588572643,0.588547822,0.5881663,2.48E-05,0.000474082,0.001662748,3.71E-05,0.588342796,0.588246489,0.586546622,9.63E-05,0.0003146,0.000621679,1.76E-05,0.588539717,0.588492005,0.587852685,4.77E-05,Last
40,20,5.81E-06,1.06E-05,3.14E-07,0.021442305,0.021440097,0.021429222,2.21E-06,1.56E-05,4.69E-05,1.09E-06,0.021418124,0.021406279,0.021358313,1.18E-05,1.73E-05,6.35E-05,1.33E-06,0.021402088,0.02138857,0.021323715,1.35E-05,Last
40,50,4.22E-06,7.78E-06,2.28E-07,0.015306607,0.015296755,0.015288751,9.85E-06,1.12E-05,3.43E-05,7.87E-07,0.015198775,0.01514624,0.015111136,5.25E-05,1.24E-05,4.63E-05,9.58E-07,0.015127392,0.015067675,0.015020391,5.97E-05,Last
40,80,4.29E-06,7.89E-06,2.32E-07,0.015289293,0.015264101,0.015255974,2.52E-05,1.13E-05,3.46E-05,7.93E-07,0.01501381,0.014880956,0.014845592,0.000132854,1.24E-05,4.64E-05,9.60E-07,0.014832056,0.014682165,0.014634774,0.000149892,Last
40,100,2.60E-06,4.94E-06,1.41E-07,0.009163989,0.009140395,0.009135313,2.36E-05,6.77E-06,2.14E-05,4.77E-07,0.008906214,0.008783074,0.008761151,0.000123139,7.39E-06,2.86E-05,5.74E-07,0.008736673,0.008598717,0.00856952,0.000137956,Last
40,10,0.000158707,0.000266394,8.04E-06,0.588583083,0.58856793,0.588293496,1.52E-05,0.000425042,0.001148895,2.85E-05,0.588448891,0.58836753,0.587190109,8.14E-05,0.000472652,0.001546576,3.55E-05,0.588368017,0.588275111,0.586693031,9.29E-05,Last
